stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
17344,47.42904808881661,8.69659924992451,0,-1,1,0,0,0
17345,47.375974112498504,8.447613202590441,0,-1,0,0,0,0
17346,47.4873197547374,8.3354585393525,0,-1,1,0,0,0
17347,46.3061907070658,7.468081233497322,2,-1,0,0,1,0
17348,47.466992137875096,9.20433603173238,1,-1,0,1,0,0
17349,47.3875735990751,8.51944249271863,0,-1,0,0,0,0
17350,46.14425875710021,8.72703417175471,3,-1,0,0,0,1
17351,47.124082107938,7.644088147139361,2,-1,0,0,1,0
17352,46.9998892842848,7.09955637128883,2,-1,0,0,0,0
17353,46.7656516853049,7.507795752213769,2,-1,0,0,1,0
17354,47.0219646576104,8.32116634318017,3,-1,0,0,0,1
17355,47.2306950130209,8.96277006864617,1,-1,0,1,0,0
17356,45.841695487860406,8.91577021297449,3,-1,0,0,0,1
17357,47.6473882284232,9.1757067236235,1,-1,0,1,0,0
17358,47.507979317250005,8.76037065195302,1,-1,0,1,0,0
17359,46.8034997331718,6.9213306188947,2,-1,0,0,1,0
17360,46.8068077887663,9.24970993673957,1,-1,0,1,0,0
17361,47.448965141581,8.58388763121034,0,-1,1,0,0,0
17362,47.42091018661,7.080071912773559,2,-1,0,0,1,0
17363,46.1216114332874,7.02105259859869,2,-1,0,0,1,0
17364,46.251224956778096,7.34937785183724,2,-1,0,0,1,0
17365,46.2881666767681,7.8843066372992014,2,-1,0,0,1,0
17366,46.776941836627294,7.616015794506709,2,-1,0,0,1,0
