from_stop_id,to_stop_id,min_transfer_time
1597,5873,1
1597,6157,1
1597,7058,1
1597,7728,1
1597,8149,1
1597,8730,1
1597,9140,1
1597,9208,1
1597,9510,1
1597,9676,1
1597,9775,1
1597,10015,1
1597,10091,1
1597,10522,1
1597,10641,1
1597,10993,1
1597,11035,1
1597,11083,1
1597,11136,1
1597,11356,1
1597,11390,1
1597,11632,1
1597,12010,1
1597,12149,1
1597,12227,1
1597,12344,1
1597,12406,1
1597,13015,1
1597,13098,1
1597,13333,1
1597,13430,1
1597,13440,1
1597,13649,1
1597,13868,1
1597,14062,1
1597,14163,1
1597,14312,1
1597,14918,1
1597,15533,1
1597,15586,1
1597,15650,1
1597,15796,1
1597,15889,1
1597,15967,1
1597,16080,1
1597,16108,1
1597,16198,1
1597,16493,1
1597,16562,1
1597,16637,1
1597,17013,1
1597,17145,1
1597,17278,1
1597,17394,1
1597,17713,1
1597,17931,1
1597,18245,1
2086,2414,1
2086,2559,1
2086,2748,1
2086,3060,1
2086,3158,1
2086,4022,1
2086,4043,1
2086,4125,1
2086,5404,1
2086,5507,1
2086,5512,1
2086,5596,1
2086,5873,1
2086,6157,1
2086,7058,1
2086,7728,1
2086,8149,1
2086,8730,1
2086,9140,1
2086,9208,1
2086,9510,1
2086,9676,1
2086,9775,1
2086,10015,1
2086,10091,1
2086,10522,1
2086,10641,1
2086,10993,1
2086,11035,1
2086,11083,1
2086,11136,1
2086,11356,1
2086,11390,1
2086,11632,1
2086,12010,1
2086,12149,1
2086,12227,1
2086,12344,1
2086,12406,1
2086,13015,1
2086,13098,1
2086,13333,1
2086,13430,1
2086,13440,1
2086,13649,1
2086,13868,1
2086,14062,1
2086,14163,1
2086,14312,1
2086,14918,1
2086,15533,1
2086,15586,1
2086,15650,1
2086,15796,1
2086,15889,1
2086,15967,1
2086,16080,1
2086,16108,1
2086,16198,1
2086,16493,1
2086,16562,1
2086,16637,1
2086,17013,1
2086,17145,1
2086,17278,1
2086,17394,1
2086,17713,1
2086,17931,1
2086,18245,1
2414,2559,1
2414,2748,1
2414,3060,1
2414,3158,1
2414,4022,1
2414,4043,1
2414,4125,1
2414,5404,1
2414,5507,1
2414,5512,1
2414,5596,1
2414,5873,1
2414,6157,1
